County,State,Population
Scott County,Arkansas,"10,561"
Searcy County,Arkansas,"7,835"
Sebastian County,Arkansas,"127,385"
Sevier County,Arkansas,"17,262"
Sharp County,Arkansas,"16,808"
Stone County,Arkansas,"12,386"
Union County,Arkansas,"40,086"
Van Buren County,Arkansas,"16,808"
Washington County,Arkansas,"224,434"
White County,Arkansas,"78,915"
Woodruff County,Arkansas,"6,706"
Yell County,Arkansas,"21,506"
Alameda County,California,"1,634,538"
Alpine County,California,"1,077"
Amador County,California,"37,031"
Butte County,California,"224,631"
Calaveras County,California,"44,965"
Colusa County,California,"21,231"
Contra Costa County,California,"1,124,405"
Del Norte County,California,"27,190"
El Dorado County,California,"184,569"
Fresno County,California,"969,488"
Glenn County,California,"27,753"
Humboldt County,California,"135,102"
Imperial County,California,"178,937"
Inyo County,California,"18,108"
Kern County,California,"876,031"
Kings County,California,"150,085"
Lake County,California,"64,260"
Lassen County,California,"31,256"
Los Angeles County,California,"10,085,416"
Madera County,California,"153,576"
Marin County,California,"260,916"
Mariposa County,California,"17,622"
Mendocino County,California,"87,107"
Merced County,California,"266,353"
Modoc County,California,"9,056"
Mono County,California,"14,077"
Monterey County,California,"430,552"
Napa County,California,"140,862"
Nevada County,California,"98,676"
Orange County,California,"3,149,280"
Placer County,California,"372,841"
Plumas County,California,"18,427"
Riverside County,California,"2,345,816"
Sacramento County,California,"1,493,674"
San Benito County,California,"58,216"
San Bernardino County,California,"2,115,411"
San Diego County,California,"3,280,850"
San Francisco County,California,"863,010"
San Joaquin County,California,"722,271"
San Luis Obispo County,California,"280,077"
San Mateo County,California,"765,055"
Santa Barbara County,California,"442,229"
Santa Clara County,California,"1,916,285"
Santa Cruz County,California,"273,503"
Shasta County,California,"178,314"
Sierra County,California,"2,985"
Siskiyou County,California,"43,254"
Solano County,California,"433,409"
Sonoma County,California,"500,863"
Stanislaus County,California,"533,211"
Sutter County,California,"95,282"
Tehama County,California,"63,158"
Trinity County,California,"13,094"
Tulare County,California,"457,161"
Tuolumne County,California,"53,615"
Ventura County,California,"845,802"
Yolo County,California,"212,037"
Yuba County,California,"74,045"
Adams County,Colorado,"490,443"
Alamosa County,Colorado,"15,894"
Arapahoe County,Colorado,"630,984"
Archuleta County,Colorado,"12,387"
Baca County,Colorado,"3,555"
Bent County,Colorado,"5,889"
