County,State,Population
Dickinson County,Iowa,"17,004"
Dubuque County,Iowa,"96,850"
Emmet County,Iowa,"9,702"
Fayette County,Iowa,"20,142"
Floyd County,Iowa,"15,910"
Franklin County,Iowa,"10,319"
Fremont County,Iowa,"6,912"
Greene County,Iowa,"8,944"
Grundy County,Iowa,"12,405"
Guthrie County,Iowa,"10,649"
Hamilton County,Iowa,"15,218"
Hancock County,Iowa,"11,028"
Hardin County,Iowa,"17,253"
Harrison County,Iowa,"14,139"
Henry County,Iowa,"19,843"
Howard County,Iowa,"9,313"
Humboldt County,Iowa,"9,556"
Ida County,Iowa,"6,968"
Iowa County,Iowa,"16,282"
Jackson County,Iowa,"19,366"
Jasper County,Iowa,"36,750"
Jefferson County,Iowa,"17,906"
Johnson County,Iowa,"144,943"
Jones County,Iowa,"20,433"
Keokuk County,Iowa,"10,171"
Kossuth County,Iowa,"15,158"
Lee County,Iowa,"34,894"
Linn County,Iowa,"220,271"
Louisa County,Iowa,"11,285"
Lucas County,Iowa,"8,610"
Lyon County,Iowa,"11,747"
Madison County,Iowa,"15,720"
Mahaska County,Iowa,"22,312"
Marion County,Iowa,"33,109"
Marshall County,Iowa,"40,352"
Mills County,Iowa,"14,882"
Mitchell County,Iowa,"10,676"
Monona County,Iowa,"8,866"
Monroe County,Iowa,"7,924"
Montgomery County,Iowa,"10,149"
Muscatine County,Iowa,"43,068"
O'Brien County,Iowa,"13,926"
Osceola County,Iowa,"6,160"
Page County,Iowa,"15,462"
Palo Alto County,Iowa,"9,140"
Plymouth County,Iowa,"24,899"
Pocahontas County,Iowa,"6,967"
Polk County,Iowa,"467,304"
Pottawattamie County,Iowa,"93,563"
Poweshiek County,Iowa,"18,358"
Ringgold County,Iowa,"4,977"
Sac County,Iowa,"9,966"
Scott County,Iowa,"171,903"
Shelby County,Iowa,"11,789"
Sioux County,Iowa,"34,754"
Story County,Iowa,"96,636"
Tama County,Iowa,"17,217"
Taylor County,Iowa,"6,246"
Union County,Iowa,"12,430"
Van Buren County,Iowa,"7,296"
Wapello County,Iowa,"35,456"
Warren County,Iowa,"48,468"
Washington County,Iowa,"22,145"
Wayne County,Iowa,"6,359"
Webster County,Iowa,"37,066"
Winnebago County,Iowa,"10,603"
Winneshiek County,Iowa,"20,745"
Woodbury County,Iowa,"102,492"
Worth County,Iowa,"7,503"
Wright County,Iowa,"12,841"
Allen County,Kansas,"12,683"
Anderson County,Kansas,"7,816"
Atchison County,Kansas,"16,418"
Barber County,Kansas,"4,824"
Barton County,Kansas,"27,159"
Bourbon County,Kansas,"14,733"
Brown County,Kansas,"9,708"
Butler County,Kansas,"66,249"
Chase County,Kansas,"2,656"
Chautauqua County,Kansas,"3,387"
Cherokee County,Kansas,"20,535"
Cheyenne County,Kansas,"2,674"
Clark County,Kansas,"2,081"
Clay County,Kansas,"8,293"
Cloud County,Kansas,"9,188"
Coffey County,Kansas,"8,291"
Comanche County,Kansas,"1,827"
Cowley County,Kansas,"35,752"
Crawford County,Kansas,"39,139"
Decatur County,Kansas,"2,923"
Dickinson County,Kansas,"19,206"
Doniphan County,Kansas,"7,788"
Douglas County,Kansas,"118,141"
Edwards County,Kansas,"2,955"
Elk County,Kansas,"2,574"
Ellis County,Kansas,"28,999"
Ellsworth County,Kansas,"6,302"
Finney County,Kansas,"37,148"
Ford County,Kansas,"34,629"
Franklin County,Kansas,"25,469"
Geary County,Kansas,"36,681"
Gove County,Kansas,"2,698"
Graham County,Kansas,"2,591"
Grant County,Kansas,"7,724"
Gray County,Kansas,"6,082"
Greeley County,Kansas,"1,302"
Greenwood County,Kansas,"6,233"
Hamilton County,Kansas,"2,568"
Harper County,Kansas,"5,781"
Harvey County,Kansas,"34,802"
Haskell County,Kansas,"4,089"
Hodgeman County,Kansas,"1,869"
Jackson County,Kansas,"13,285"
Jefferson County,Kansas,"18,794"
Jewell County,Kansas,"2,963"
Johnson County,Kansas,"579,684"
Kearny County,Kansas,"3,929"
Kingman County,Kansas,"7,636"
Kiowa County,Kansas,"2,570"
Labette County,Kansas,"20,628"
Lane County,Kansas,"1,630"
Leavenworth County,Kansas,"79,119"
Lincoln County,Kansas,"3,142"
Linn County,Kansas,"9,580"
Logan County,Kansas,"2,787"
Lyon County,Kansas,"33,133"
McPherson County,Kansas,"28,648"
Marion County,Kansas,"12,053"
Marshall County,Kansas,"9,845"
Meade County,Kansas,"4,301"
Miami County,Kansas,"32,758"
Mitchell County,Kansas,"6,294"
Montgomery County,Kansas,"33,436"
Morris County,Kansas,"5,628"
Morton County,Kansas,"2,953"
Nemaha County,Kansas,"10,094"
Neosho County,Kansas,"16,287"
Ness County,Kansas,"3,020"
Norton County,Kansas,"5,536"
Osage County,Kansas,"15,865"
Osborne County,Kansas,"3,641"
Ottawa County,Kansas,"5,934"
Pawnee County,Kansas,"6,769"
Phillips County,Kansas,"5,420"
Pottawatomie County,Kansas,"23,123"
Pratt County,Kansas,"9,697"
Rawlins County,Kansas,"2,506"
Reno County,Kansas,"63,596"
Republic County,Kansas,"4,688"
Rice County,Kansas,"9,925"
Riley County,Kansas,"77,185"
Rooks County,Kansas,"5,179"
Rush County,Kansas,"3,098"
Russell County,Kansas,"7,044"
Saline County,Kansas,"55,429"
Scott County,Kansas,"4,948"
Sedgwick County,Kansas,"511,083"
Seward County,Kansas,"23,273"
Shawnee County,Kansas,"178,689"
Sheridan County,Kansas,"2,475"
Sherman County,Kansas,"5,964"
Smith County,Kansas,"3,689"
Stafford County,Kansas,"4,215"
Stanton County,Kansas,"2,070"
Stevens County,Kansas,"5,789"
Sumner County,Kansas,"23,417"
Thomas County,Kansas,"7,895"
Trego County,Kansas,"2,907"
Wabaunsee County,Kansas,"6,887"
Wallace County,Kansas,"1,505"
Washington County,Kansas,"5,568"
Wichita County,Kansas,"2,167"
Wilson County,Kansas,"8,845"
Woodson County,Kansas,"3,144"
Wyandotte County,Kansas,"163,682"
Adair County,Kentucky,"19,162"
Allen County,Kentucky,"20,660"
Anderson County,Kentucky,"21,920"
Ballard County,Kentucky,"8,216"
Barren County,Kentucky,"43,546"
Bath County,Kentucky,"12,203"
Bell County,Kentucky,"27,370"
Boone County,Kentucky,"128,161"
Bourbon County,Kentucky,"20,166"
Boyd County,Kentucky,"48,471"
Boyle County,Kentucky,"29,782"
Bracken County,Kentucky,"8,290"
Breathitt County,Kentucky,"13,363"
Breckinridge County,Kentucky,"19,979"
Bullitt County,Kentucky,"78,677"
Butler County,Kentucky,"12,734"
Caldwell County,Kentucky,"12,748"
Calloway County,Kentucky,"38,656"
Campbell County,Kentucky,"92,124"
Carlisle County,Kentucky,"4,852"
Carroll County,Kentucky,"10,682"
Carter County,Kentucky,"27,439"
Casey County,Kentucky,"15,749"
Christian County,Kentucky,"73,075"
Clark County,Kentucky,"35,660"
Clay County,Kentucky,"20,974"
Clinton County,Kentucky,"10,183"
Crittenden County,Kentucky,"9,168"
Cumberland County,Kentucky,"6,737"
Daviess County,Kentucky,"99,485"
Edmonson County,Kentucky,"11,991"
Elliott County,Kentucky,"7,548"
Estill County,Kentucky,"14,373"
Fayette County,Kentucky,"315,819"
Fleming County,Kentucky,"14,578"
Floyd County,Kentucky,"37,531"
Franklin County,Kentucky,"50,070"
Fulton County,Kentucky,"6,266"
Gallatin County,Kentucky,"8,613"
Garrard County,Kentucky,"17,207"
Grant County,Kentucky,"24,736"
Graves County,Kentucky,"37,248"
Grayson County,Kentucky,"26,138"
Green County,Kentucky,"10,951"
Greenup County,Kentucky,"36,006"
Hancock County,Kentucky,"8,641"
Hardin County,Kentucky,"106,272"
Harlan County,Kentucky,"27,506"
Harrison County,Kentucky,"18,641"
Hart County,Kentucky,"18,421"
Henderson County,Kentucky,"46,344"
Henry County,Kentucky,"15,563"
Hickman County,Kentucky,"4,612"
Hopkins County,Kentucky,"46,055"
Jackson County,Kentucky,"13,325"
Jefferson County,Kentucky,"764,946"
Jessamine County,Kentucky,"51,809"
Johnson County,Kentucky,"23,128"
Kenton County,Kentucky,"164,478"
Knott County,Kentucky,"15,680"
Knox County,Kentucky,"31,465"
Larue County,Kentucky,"14,110"
Laurel County,Kentucky,"59,919"
Lawrence County,Kentucky,"15,861"
Lee County,Kentucky,"6,746"
Leslie County,Kentucky,"10,644"
Letcher County,Kentucky,"23,049"
Lewis County,Kentucky,"13,663"
Lincoln County,Kentucky,"24,342"
Livingston County,Kentucky,"9,289"
Logan County,Kentucky,"26,746"
Lyon County,Kentucky,"8,474"
McCracken County,Kentucky,"64,948"
McCreary County,Kentucky,"17,883"
McLean County,Kentucky,"9,395"
Madison County,Kentucky,"88,212"
Magoffin County,Kentucky,"12,784"
Marion County,Kentucky,"19,212"
Marshall County,Kentucky,"31,059"
Martin County,Kentucky,"12,285"
Mason County,Kentucky,"17,050"
Meade County,Kentucky,"27,725"
Menifee County,Kentucky,"6,373"
Mercer County,Kentucky,"21,377"
Metcalfe County,Kentucky,"9,925"
Monroe County,Kentucky,"10,618"
Montgomery County,Kentucky,"27,576"
Morgan County,Kentucky,"13,267"
Muhlenberg County,Kentucky,"31,245"
Nelson County,Kentucky,"45,114"
Nicholas County,Kentucky,"7,059"
Ohio County,Kentucky,"24,021"
Oldham County,Kentucky,"64,556"
Owen County,Kentucky,"10,736"
Owsley County,Kentucky,"4,445"
Pendleton County,Kentucky,"14,487"
Perry County,Kentucky,"27,373"
Pike County,Kentucky,"61,781"
Powell County,Kentucky,"12,226"
Pulaski County,Kentucky,"63,862"
Robertson County,Kentucky,"2,134"
Rockcastle County,Kentucky,"16,932"
Rowan County,Kentucky,"24,642"
Russell County,Kentucky,"17,685"
Scott County,Kentucky,"52,155"
Shelby County,Kentucky,"45,787"
Simpson County,Kentucky,"17,901"
Spencer County,Kentucky,"18,072"
Taylor County,Kentucky,"25,586"
Todd County,Kentucky,"12,447"
Trigg County,Kentucky,"14,218"
Trimble County,Kentucky,"8,733"
Union County,Kentucky,"14,951"
Warren County,Kentucky,"124,122"
Washington County,Kentucky,"12,007"
Wayne County,Kentucky,"20,609"
Webster County,Kentucky,"13,155"
Whitley County,Kentucky,"36,109"
Wolfe County,Kentucky,"7,241"
Woodford County,Kentucky,"25,860"
Acadia Parish,Louisiana,"62,679"
Allen Parish,Louisiana,"25,631"
Ascension Parish,Louisiana,"119,374"
Assumption Parish,Louisiana,"22,898"
Avoyelles Parish,Louisiana,"40,979"
Beauregard Parish,Louisiana,"36,531"
Bienville Parish,Louisiana,"13,823"
Bossier Parish,Louisiana,"125,554"
Caddo Parish,Louisiana,"251,345"
Calcasieu Parish,Louisiana,"198,450"
Caldwell Parish,Louisiana,"10,045"
Cameron Parish,Louisiana,"6,825"
Catahoula Parish,Louisiana,"10,029"
Claiborne Parish,Louisiana,"16,261"
Concordia Parish,Louisiana,"20,228"
De Soto Parish,Louisiana,"27,101"
East Baton Rouge Parish,Louisiana,"445,512"
East Carroll Parish,Louisiana,"7,277"
East Feliciana Parish,Louisiana,"19,540"
Evangeline Parish,Louisiana,"33,724"
Franklin Parish,Louisiana,"20,386"
Grant Parish,Louisiana,"22,302"
Iberia Parish,Louisiana,"73,747"
Iberville Parish,Louisiana,"33,136"
Jackson Parish,Louisiana,"15,947"
Jefferson Parish,Louisiana,"435,175"
Jefferson Davis Parish,Louisiana,"31,431"
Lafayette Parish,Louisiana,"239,332"
Lafourche Parish,Louisiana,"98,314"
LaSalle Parish,Louisiana,"14,979"
Lincoln Parish,Louisiana,"47,434"
Livingston Parish,Louisiana,"137,116"
Madison Parish,Louisiana,"11,554"
Morehouse Parish,Louisiana,"26,301"
Natchitoches Parish,Louisiana,"39,004"
Orleans Parish,Louisiana,"389,742"
Ouachita Parish,Louisiana,"156,880"
Plaquemines Parish,Louisiana,"23,437"
Pointe Coupee Parish,Louisiana,"22,197"
Rapides Parish,Louisiana,"131,780"
Red River Parish,Louisiana,"8,711"
Richland Parish,Louisiana,"20,546"
Sabine Parish,Louisiana,"24,205"
St. Bernard Parish,Louisiana,"45,421"
St. Charles Parish,Louisiana,"52,572"
St. Helena Parish,Louisiana,"10,457"
St. James Parish,Louisiana,"21,481"
St. John the Baptist Parish,Louisiana,"43,523"
St. Landry Parish,Louisiana,"83,649"
St. Martin Parish,Louisiana,"53,831"
St. Mary Parish,Louisiana,"52,876"
St. Tammany Parish,Louisiana,"248,930"
Tangipahoa Parish,Louisiana,"128,716"
Tensas Parish,Louisiana,"4,772"
Terrebonne Parish,Louisiana,"113,817"
Union Parish,Louisiana,"22,487"
Vermilion Parish,Louisiana,"59,918"
Vernon Parish,Louisiana,"51,431"
Washington Parish,Louisiana,"46,358"
Webster Parish,Louisiana,"40,061"
West Baton Rouge Parish,Louisiana,"25,554"
West Carroll Parish,Louisiana,"11,287"
West Feliciana Parish,Louisiana,"15,383"
Winn Parish,Louisiana,"14,642"
Androscoggin County,Maine,"107,124"
Aroostook County,Maine,"68,818"
Cumberland County,Maine,"289,488"
Franklin County,Maine,"30,017"
Hancock County,Maine,"54,237"
Kennebec County,Maine,"121,010"
Knox County,Maine,"39,786"
Lincoln County,Maine,"33,784"
Oxford County,Maine,"57,164"
Penobscot County,Maine,"151,929"
Piscataquis County,Maine,"16,937"
Sagadahoc County,Maine,"35,120"
Somerset County,Maine,"50,729"
Waldo County,Maine,"39,120"
Washington County,Maine,"31,776"
York County,Maine,"201,223"
Allegany County,Maryland,"72,462"
Anne Arundel County,Maryland,"563,027"
Baltimore County,Maryland,"827,533"
Calvert County,Maryland,"90,477"
Caroline County,Maryland,"32,595"
Carroll County,Maryland,"167,132"
Cecil County,Maryland,"102,382"
Charles County,Maryland,"155,665"
Dorchester County,Maryland,"32,419"
Frederick County,Maryland,"245,001"
Garrett County,Maryland,"29,426"
Harford County,Maryland,"249,558"
Howard County,Maryland,"311,297"
Kent County,Maryland,"19,715"
Montgomery County,Maryland,"1,032,814"
Prince George's County,Maryland,"906,197"
Queen Anne's County,Maryland,"48,984"
St. Mary's County,Maryland,"110,985"
Somerset County,Maryland,"25,687"
Talbot County,Maryland,"37,413"
Washington County,Maryland,"149,068"
Wicomico County,Maryland,"101,747"
Worcester County,Maryland,"51,456"
Baltimore city,Maryland,"622,522"
Barnstable County,Massachusetts,"213,877"
Berkshire County,Massachusetts,"127,858"
Bristol County,Massachusetts,"556,863"
Dukes County,Massachusetts,"17,274"
Essex County,Massachusetts,"776,865"
Franklin County,Massachusetts,"70,866"
Hampden County,Massachusetts,"469,113"
Hampshire County,Massachusetts,"160,709"
Middlesex County,Massachusetts,"1,585,432"
Nantucket County,Massachusetts,"10,940"
Norfolk County,Massachusetts,"694,502"
Plymouth County,Massachusetts,"509,221"
Suffolk County,Massachusetts,"782,591"
Worcester County,Massachusetts,"818,117"
Alcona County,Michigan,"10,330"
Alger County,Michigan,"9,255"
Allegan County,Michigan,"114,112"
Alpena County,Michigan,"28,722"
Antrim County,Michigan,"23,035"
Arenac County,Michigan,"15,307"
Baraga County,Michigan,"8,585"
Barry County,Michigan,"59,426"
Bay County,Michigan,"105,237"
Benzie County,Michigan,"17,390"
Berrien County,Michigan,"155,022"
Branch County,Michigan,"43,639"
Calhoun County,Michigan,"134,327"
Cass County,Michigan,"51,342"
Charlevoix County,Michigan,"26,210"
Cheboygan County,Michigan,"25,399"
Chippewa County,Michigan,"37,973"
Clare County,Michigan,"30,616"
Clinton County,Michigan,"77,009"
Crawford County,Michigan,"13,853"
Delta County,Michigan,"36,415"
Dickinson County,Michigan,"25,661"
Eaton County,Michigan,"108,661"
Emmet County,Michigan,"32,924"
Genesee County,Michigan,"410,461"
Gladwin County,Michigan,"25,227"
Gogebic County,Michigan,"15,536"
Grand Traverse County,Michigan,"91,541"
Gratiot County,Michigan,"41,331"
Hillsdale County,Michigan,"45,883"
Houghton County,Michigan,"36,228"
Huron County,Michigan,"31,763"
Ingham County,Michigan,"287,096"
Ionia County,Michigan,"64,056"
Iosco County,Michigan,"25,343"
Iron County,Michigan,"11,320"
Isabella County,Michigan,"70,767"
Jackson County,Michigan,"159,264"
Kalamazoo County,Michigan,"259,676"
Kalkaska County,Michigan,"17,248"
Kent County,Michigan,"637,164"
Keweenaw County,Michigan,"2,123"
Lake County,Michigan,"11,697"
Lapeer County,Michigan,"88,368"
Leelanau County,Michigan,"21,633"
Lenawee County,Michigan,"98,391"
Livingston County,Michigan,"187,171"
Luce County,Michigan,"6,430"
Mackinac County,Michigan,"10,821"
Macomb County,Michigan,"864,960"
Manistee County,Michigan,"24,457"
Marquette County,Michigan,"67,326"
Mason County,Michigan,"28,738"
Mecosta County,Michigan,"43,005"
Menominee County,Michigan,"23,476"
Midland County,Michigan,"83,662"
Missaukee County,Michigan,"14,882"
Monroe County,Michigan,"149,353"
Montcalm County,Michigan,"62,763"
Montmorency County,Michigan,"9,287"
Muskegon County,Michigan,"172,447"
Newaygo County,Michigan,"47,882"
Oakland County,Michigan,"1,244,602"
Oceana County,Michigan,"26,323"
Ogemaw County,Michigan,"20,877"
Ontonagon County,Michigan,"6,037"
Osceola County,Michigan,"23,177"
Oscoda County,Michigan,"8,277"
Otsego County,Michigan,"24,203"
Ottawa County,Michigan,"280,859"
Presque Isle County,Michigan,"12,801"
Roscommon County,Michigan,"23,912"
Saginaw County,Michigan,"193,305"
St. Clair County,Michigan,"159,700"
St. Joseph County,Michigan,"60,804"
Sanilac County,Michigan,"41,464"
Schoolcraft County,Michigan,"8,121"
Shiawassee County,Michigan,"68,505"
Tuscola County,Michigan,"53,726"
Van Buren County,Michigan,"75,060"
Washtenaw County,Michigan,"362,975"
Wayne County,Michigan,"1,764,872"
Wexford County,Michigan,"32,889"
Aitkin County,Minnesota,"15,852"
Anoka County,Minnesota,"344,176"
Becker County,Minnesota,"33,445"
Beltrami County,Minnesota,"45,605"
Benton County,Minnesota,"39,422"
Big Stone County,Minnesota,"4,993"
Blue Earth County,Minnesota,"65,673"
Brown County,Minnesota,"25,240"
Carlton County,Minnesota,"35,409"
Carver County,Minnesota,"98,630"
Cass County,Minnesota,"28,698"
Chippewa County,Minnesota,"12,084"
Chisago County,Minnesota,"54,129"
Clay County,Minnesota,"62,169"
Clearwater County,Minnesota,"8,797"
Cook County,Minnesota,"5,245"
Cottonwood County,Minnesota,"11,422"
Crow Wing County,Minnesota,"63,229"
Dakota County,Minnesota,"414,131"
Dodge County,Minnesota,"20,410"
Douglas County,Minnesota,"36,790"
Faribault County,Minnesota,"13,981"
Fillmore County,Minnesota,"20,739"
Freeborn County,Minnesota,"30,522"
Goodhue County,Minnesota,"46,060"
Grant County,Minnesota,"5,867"
Hennepin County,Minnesota,"1,222,200"
Houston County,Minnesota,"18,686"
Hubbard County,Minnesota,"20,646"
Isanti County,Minnesota,"38,281"
Itasca County,Minnesota,"45,267"
Jackson County,Minnesota,"10,096"
Kanabec County,Minnesota,"15,888"
Kandiyohi County,Minnesota,"42,623"
Kittson County,Minnesota,"4,409"
Koochiching County,Minnesota,"12,797"
Lac qui Parle County,Minnesota,"6,877"
Lake County,Minnesota,"10,541"
Lake of the Woods County,Minnesota,"3,868"
Le Sueur County,Minnesota,"27,755"
Lincoln County,Minnesota,"5,710"
Lyon County,Minnesota,"25,826"
McLeod County,Minnesota,"35,814"
Mahnomen County,Minnesota,"5,432"
Marshall County,Minnesota,"9,409"
Martin County,Minnesota,"20,036"
Meeker County,Minnesota,"23,045"
Mille Lacs County,Minnesota,"25,494"
Morrison County,Minnesota,"32,775"
Mower County,Minnesota,"39,492"
Murray County,Minnesota,"8,394"
Nicollet County,Minnesota,"33,526"
Nobles County,Minnesota,"21,748"
Norman County,Minnesota,"6,621"
Olmsted County,Minnesota,"151,397"
Otter Tail County,Minnesota,"57,520"
Pennington County,Minnesota,"14,237"
Pine County,Minnesota,"29,045"
Pipestone County,Minnesota,"9,295"
Polk County,Minnesota,"31,497"
Pope County,Minnesota,"10,936"
Ramsey County,Minnesota,"536,631"
Red Lake County,Minnesota,"4,031"
Redwood County,Minnesota,"15,425"
Renville County,Minnesota,"14,798"
Rice County,Minnesota,"65,323"
Rock County,Minnesota,"9,442"
Roseau County,Minnesota,"15,621"
St. Louis County,Minnesota,"200,296"
Scott County,Minnesota,"141,329"
Sherburne County,Minnesota,"91,415"
Sibley County,Minnesota,"14,889"
Stearns County,Minnesota,"156,003"
Steele County,Minnesota,"36,599"
Stevens County,Minnesota,"9,874"
Swift County,Minnesota,"9,376"
Todd County,Minnesota,"24,328"
Traverse County,Minnesota,"3,373"
Wabasha County,Minnesota,"21,387"
Wadena County,Minnesota,"13,667"
Waseca County,Minnesota,"18,926"
Washington County,Minnesota,"250,386"
Watonwan County,Minnesota,"11,018"
Wilkin County,Minnesota,"6,357"
Winona County,Minnesota,"50,827"
Wright County,Minnesota,"130,973"
Yellow Medicine County,Minnesota,"9,837"
Adams County,Mississippi,"31,561"
Alcorn County,Mississippi,"37,276"
Amite County,Mississippi,"12,553"
Attala County,Mississippi,"18,665"
Benton County,Mississippi,"8,155"
Bolivar County,Mississippi,"33,230"
Calhoun County,Mississippi,"14,639"
Carroll County,Mississippi,"10,203"
Chickasaw County,Mississippi,"17,395"
Choctaw County,Mississippi,"8,372"
Claiborne County,Mississippi,"9,209"
Clarke County,Mississippi,"16,022"
Clay County,Mississippi,"20,005"
Coahoma County,Mississippi,"24,500"
Copiah County,Mississippi,"28,865"
Covington County,Mississippi,"19,243"
DeSoto County,Mississippi,"173,271"
Forrest County,Mississippi,"75,593"
Franklin County,Mississippi,"7,729"
George County,Mississippi,"23,378"
Greene County,Mississippi,"13,549"
Grenada County,Mississippi,"21,444"
Hancock County,Mississippi,"46,305"
Harrison County,Mississippi,"200,674"
Hinds County,Mississippi,"244,216"
Holmes County,Mississippi,"18,367"
Humphreys County,Mississippi,"8,705"
Issaquena County,Mississippi,"1,337"
Itawamba County,Mississippi,"23,543"
Jackson County,Mississippi,"141,354"
Jasper County,Mississippi,"16,554"
Jefferson County,Mississippi,"7,503"
Jefferson Davis County,Mississippi,"11,632"
Jones County,Mississippi,"68,629"
Kemper County,Mississippi,"10,111"
Lafayette County,Mississippi,"52,736"
Lamar County,Mississippi,"60,966"
Lauderdale County,Mississippi,"78,348"
Lawrence County,Mississippi,"12,691"
Leake County,Mississippi,"22,777"
Lee County,Mississippi,"84,740"
Leflore County,Mississippi,"30,241"
Lincoln County,Mississippi,"34,522"
Lowndes County,Mississippi,"59,697"
Madison County,Mississippi,"102,453"
Marion County,Mississippi,"25,412"
Marshall County,Mississippi,"35,891"
Monroe County,Mississippi,"35,823"
Montgomery County,Mississippi,"10,195"
Neshoba County,Mississippi,"29,481"
Newton County,Mississippi,"21,569"
Noxubee County,Mississippi,"10,942"
Oktibbeha County,Mississippi,"49,510"
Panola County,Mississippi,"34,202"
Pearl River County,Mississippi,"54,944"
Perry County,Mississippi,"12,071"
Pike County,Mississippi,"39,890"
Pontotoc County,Mississippi,"30,857"
Prentiss County,Mississippi,"25,440"
Quitman County,Mississippi,"7,511"
Rankin County,Mississippi,"149,447"
Scott County,Mississippi,"28,432"
Sharkey County,Mississippi,"4,563"
Simpson County,Mississippi,"27,169"
Smith County,Mississippi,"16,079"
Stone County,Mississippi,"18,271"
Sunflower County,Mississippi,"26,877"
Tallahatchie County,Mississippi,"14,582"
Tate County,Mississippi,"28,465"
Tippah County,Mississippi,"22,018"
Tishomingo County,Mississippi,"19,481"
Tunica County,Mississippi,"10,264"
Union County,Mississippi,"28,311"
Walthall County,Mississippi,"14,601"
Warren County,Mississippi,"47,481"
Washington County,Mississippi,"47,959"
Wayne County,Mississippi,"20,497"
Webster County,Mississippi,"9,873"
Wilkinson County,Mississippi,"9,089"
Winston County,Mississippi,"18,447"
Yalobusha County,Mississippi,"12,458"
Yazoo County,Mississippi,"27,411"
Adair County,Missouri,"25,353"
Andrew County,Missouri,"17,314"
Atchison County,Missouri,"5,295"
Audrain County,Missouri,"25,950"
Barry County,Missouri,"35,293"
Barton County,Missouri,"11,825"
Bates County,Missouri,"16,362"
Benton County,Missouri,"18,791"
Bollinger County,Missouri,"12,316"
Boone County,Missouri,"174,404"
Buchanan County,Missouri,"89,082"
Butler County,Missouri,"42,829"
Caldwell County,Missouri,"9,002"
Callaway County,Missouri,"44,699"
Camden County,Missouri,"44,735"
Cape Girardeau County,Missouri,"78,238"
Carroll County,Missouri,"8,879"
Carter County,Missouri,"6,280"
Cass County,Missouri,"101,339"
Cedar County,Missouri,"13,782"
Chariton County,Missouri,"7,576"
Christian County,Missouri,"83,077"
Clark County,Missouri,"6,808"
Clay County,Missouri,"235,161"
Clinton County,Missouri,"20,581"
Cole County,Missouri,"76,818"
Cooper County,Missouri,"17,614"
Crawford County,Missouri,"24,511"
Dade County,Missouri,"7,574"
Dallas County,Missouri,"16,344"
Daviess County,Missouri,"8,283"
DeKalb County,Missouri,"12,540"
Dent County,Missouri,"15,656"
Douglas County,Missouri,"13,356"
Dunklin County,Missouri,"30,844"
Franklin County,Missouri,"102,251"
Gasconade County,Missouri,"14,742"
Gentry County,Missouri,"6,654"
Greene County,Missouri,"287,312"
Grundy County,Missouri,"10,031"
Harrison County,Missouri,"8,622"
Henry County,Missouri,"21,725"
Hickory County,Missouri,"9,266"
Holt County,Missouri,"4,483"
Howard County,Missouri,"10,134"
Howell County,Missouri,"40,070"
Iron County,Missouri,"10,203"
Jackson County,Missouri,"686,783"
Jasper County,Missouri,"118,548"
Jefferson County,Missouri,"223,116"
Johnson County,Missouri,"53,496"
Knox County,Missouri,"3,907"
Laclede County,Missouri,"35,469"
Lafayette County,Missouri,"32,624"
Lawrence County,Missouri,"37,981"
Lewis County,Missouri,"10,138"
Lincoln County,Missouri,"54,567"
Linn County,Missouri,"12,293"
Livingston County,Missouri,"14,938"
McDonald County,Missouri,"22,683"
Macon County,Missouri,"15,284"
Madison County,Missouri,"12,178"
Maries County,Missouri,"8,936"
Marion County,Missouri,"28,697"
Mercer County,Missouri,"3,660"
Miller County,Missouri,"24,872"
Mississippi County,Missouri,"13,965"
Moniteau County,Missouri,"15,873"
Monroe County,Missouri,"8,637"
Montgomery County,Missouri,"11,572"
Morgan County,Missouri,"20,065"
New Madrid County,Missouri,"18,067"
Newton County,Missouri,"58,138"
Nodaway County,Missouri,"22,625"
Oregon County,Missouri,"10,850"
Osage County,Missouri,"13,538"
Ozark County,Missouri,"9,364"
Pemiscot County,Missouri,"17,410"
Perry County,Missouri,"19,068"
Pettis County,Missouri,"42,300"
Phelps County,Missouri,"44,766"
Pike County,Missouri,"18,409"
Platte County,Missouri,"96,445"
Polk County,Missouri,"31,256"
Pulaski County,Missouri,"53,204"
Putnam County,Missouri,"4,860"
Ralls County,Missouri,"10,169"
Randolph County,Missouri,"25,041"
Ray County,Missouri,"22,793"
Reynolds County,Missouri,"6,292"
Ripley County,Missouri,"13,788"
St. Charles County,Missouri,"384,978"
St. Clair County,Missouri,"9,411"
Ste. Genevieve County,Missouri,"17,804"
St. Francois County,Missouri,"66,232"
St. Louis County,Missouri,"1,001,109"
Saline County,Missouri,"23,226"
Schuyler County,Missouri,"4,500"
Scotland County,Missouri,"4,821"
Scott County,Missouri,"39,007"
Shannon County,Missouri,"8,273"
Shelby County,Missouri,"6,101"
Stoddard County,Missouri,"29,736"
Stone County,Missouri,"31,307"
Sullivan County,Missouri,"6,366"
Taney County,Missouri,"54,216"
Texas County,Missouri,"25,660"
Vernon County,Missouri,"20,758"
Warren County,Missouri,"33,532"
Washington County,Missouri,"24,793"
Wayne County,Missouri,"13,431"
Webster County,Missouri,"37,604"
Worth County,Missouri,"2,042"
Wright County,Missouri,"18,146"
St. Louis city,Missouri,"316,010"
Beaverhead County,Montana,"9,295"
Big Horn County,Montana,"13,312"
Blaine County,Montana,"6,680"
Broadwater County,Montana,"5,714"
Carbon County,Montana,"10,403"
